"Label (Grouping)","Memphis, TN-MS-AR Metro Area!!Occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Percent occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Percent occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Owner-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Owner-occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Percent owner-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Percent owner-occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Renter-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Renter-occupied housing units!!Margin of Error","Memphis, TN-MS-AR Metro Area!!Percent renter-occupied housing units!!Estimate","Memphis, TN-MS-AR Metro Area!!Percent renter-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Owner-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent owner-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent owner-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Renter-occupied housing units!!Margin of Error","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent renter-occupied housing units!!Estimate","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area!!Percent renter-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Owner-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent owner-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Renter-occupied housing units!!Margin of Error","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent renter-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Owner-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent owner-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Renter-occupied housing units!!Margin of Error","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Estimate","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area!!Percent renter-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Owner-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Owner-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent owner-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent owner-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Renter-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Renter-occupied housing units!!Margin of Error","New Orleans-Metairie, LA Metro Area!!Percent renter-occupied housing units!!Estimate","New Orleans-Metairie, LA Metro Area!!Percent renter-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Owner-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Owner-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent owner-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent owner-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Renter-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Renter-occupied housing units!!Margin of Error","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent renter-occupied housing units!!Estimate","New York-Newark-Jersey City, NY-NJ-PA Metro Area!!Percent renter-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Owner-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Owner-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent owner-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent owner-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Renter-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Renter-occupied housing units!!Margin of Error","Oklahoma City, OK Metro Area!!Percent renter-occupied housing units!!Estimate","Oklahoma City, OK Metro Area!!Percent renter-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Owner-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Owner-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent owner-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent owner-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Renter-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Renter-occupied housing units!!Margin of Error","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent renter-occupied housing units!!Estimate","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area!!Percent renter-occupied housing units!!Margin of Error"
"        $2,500 to $2,999","8,461","±568","1.7%","±0.1","8,162","±573","2.7%","±0.2","299","±122","0.2%","±0.1","90,175","±1,950","4.3%","±0.1","71,170","±1,758","5.7%","±0.1","19,005","±963","2.3%","±0.1","56,987","±1,489","4.2%","±0.1","53,504","±1,520","5.6%","±0.2","3,483","±414","0.9%","±0.1","17,950","±1,000","2.6%","±0.1","16,254","±882","3.6%","±0.2","1,696","±277","0.7%","±0.1","10,404","±592","2.2%","±0.1","9,624","±589","3.2%","±0.2","780","±143","0.4%","±0.1","597,101","±5,367","8.3%","±0.1","457,749","±4,398","12.3%","±0.1","139,352","±3,237","4.0%","±0.1","8,396","±496","1.7%","±0.1","7,958","±502","2.5%","±0.2","438","±133","0.2%","±0.1","121,404","±2,556","5.4%","±0.1","111,916","±2,472","7.4%","±0.2","9,488","±555","1.3%","±0.1"
"        $3,000 or more","9,594","±577","1.9%","±0.1","8,852","±575","3.0%","±0.2","742","±248","0.4%","±0.1","125,107","±2,339","6.0%","±0.1","109,382","±2,285","8.8%","±0.2","15,725","±864","1.9%","±0.1","61,605","±1,197","4.5%","±0.1","58,801","±1,107","6.2%","±0.1","2,804","±369","0.7%","±0.1","19,446","±794","2.8%","±0.1","18,102","±708","4.0%","±0.2","1,344","±325","0.6%","±0.1","13,731","±713","2.9%","±0.1","12,913","±692","4.3%","±0.2","818","±187","0.4%","±0.1","1,121,733","±7,399","15.6%","±0.1","952,975","±6,692","25.6%","±0.2","168,758","±3,085","4.9%","±0.1","9,141","±626","1.8%","±0.1","8,540","±611","2.6%","±0.2","601","±162","0.3%","±0.1","147,602","±2,164","6.5%","±0.1","138,853","±2,125","9.2%","±0.1","8,749","±562","1.2%","±0.1"
"        No cash rent","9,929","±670","2.0%","±0.1","(X)","(X)","(X)","(X)","9,929","±670","5.0%","±0.3","29,515","±1,139","1.4%","±0.1","(X)","(X)","(X)","(X)","29,515","±1,139","3.5%","±0.1","11,885","±578","0.9%","±0.1","(X)","(X)","(X)","(X)","11,885","±578","2.9%","±0.1","11,666","±791","1.7%","±0.1","(X)","(X)","(X)","(X)","11,666","±791","4.9%","±0.3","9,706","±719","2.0%","±0.1","(X)","(X)","(X)","(X)","9,706","±719","5.3%","±0.4","107,646","±2,504","1.5%","±0.1","(X)","(X)","(X)","(X)","107,646","±2,504","3.1%","±0.1","10,018","±578","2.0%","±0.1","(X)","(X)","(X)","(X)","10,018","±578","5.5%","±0.3","31,062","±1,211","1.4%","±0.1","(X)","(X)","(X)","(X)","31,062","±1,211","4.2%","±0.2"
"        Median (dollars)","936","±5","936","±5","1,000","±10","1,000","±10","883","±5","883","±5","1,244","±4","1,244","±4","1,262","±7","1,262","±7","1,232","±5","1,232","±5","1,224","±5","1,224","±5","1,373","±6","1,373","±6","1,001","±5","1,001","±5","1,022","±5","1,022","±5","1,085","±7","1,085","±7","951","±6","951","±6","961","±6","961","±6","986","±11","986","±11","947","±7","947","±7","1,570","±3","1,570","±3","2,051","±6","2,051","±6","1,341","±3","1,341","±3","888","±5","888","±5","966","±10","966","±10","827","±5","827","±5","1,240","±4","1,240","±4","1,417","±6","1,417","±6","1,075","±4","1,075","±4"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","84,962","±1,912","17.1%","±0.4","31,392","±1,174","10.5%","±0.4","53,570","±1,534","27.2%","±0.7","332,412","±3,525","16.0%","±0.2","143,407","±2,405","11.6%","±0.2","189,005","±3,078","22.6%","±0.3","135,939","±2,272","10.0%","±0.2","44,039","±1,119","4.6%","±0.1","91,900","±2,057","22.6%","±0.5","83,100","±2,110","12.0%","±0.3","32,565","±1,330","7.2%","±0.3","50,535","±1,532","21.3%","±0.6","88,347","±1,488","18.4%","±0.3","34,771","±1,080","11.7%","±0.4","53,576","±1,353","29.3%","±0.7","969,398","±6,373","13.5%","±0.1","216,263","±3,261","5.8%","±0.1","753,135","±5,968","21.9%","±0.2","69,792","±1,673","13.8%","±0.3","25,964","±1,029","8.0%","±0.3","43,828","±1,262","24.0%","±0.6","294,858","±3,357","13.1%","±0.2","117,118","±2,390","7.7%","±0.2","177,740","±2,757","24.1%","±0.4"
"            Less than 20 percent","4,100","±495","0.8%","±0.1","3,359","±444","1.1%","±0.1","741","±142","0.4%","±0.1","11,613","±668","0.6%","±0.1","8,661","±575","0.7%","±0.1","2,952","±369","0.4%","±0.1","5,001","±495","0.4%","±0.1","1,758","±205","0.2%","±0.1","3,243","±414","0.8%","±0.1","5,528","±541","0.8%","±0.1","3,634","±449","0.8%","±0.1","1,894","±328","0.8%","±0.1","6,181","±455","1.3%","±0.1","5,386","±439","1.8%","±0.1","795","±182","0.4%","±0.1","28,447","±1,460","0.4%","±0.1","10,668","±801","0.3%","±0.1","17,779","±1,088","0.5%","±0.1","4,653","±397","0.9%","±0.1","3,754","±331","1.2%","±0.1","899","±243","0.5%","±0.1","10,100","±731","0.4%","±0.1","5,373","±468","0.4%","±0.1","4,727","±500","0.6%","±0.1"
"            20 to 29 percent","8,170","±553","1.6%","±0.1","4,537","±416","1.5%","±0.1","3,633","±363","1.8%","±0.2","25,671","±1,154","1.2%","±0.1","13,466","±894","1.1%","±0.1","12,205","±696","1.5%","±0.1","14,719","±830","1.1%","±0.1","4,085","±356","0.4%","±0.1","10,634","±711","2.6%","±0.2","9,177","±629","1.3%","±0.1","4,703","±442","1.0%","±0.1","4,474","±457","1.9%","±0.2","7,980","±538","1.7%","±0.1","5,063","±462","1.7%","±0.2","2,917","±302","1.6%","±0.2","74,778","±1,904","1.0%","±0.1","6,385","±568","0.2%","±0.1","68,393","±1,805","2.0%","±0.1","6,248","±491","1.2%","±0.1","3,663","±334","1.1%","±0.1","2,585","±331","1.4%","±0.2","26,285","±1,019","1.2%","±0.1","10,359","±667","0.7%","±0.1","15,926","±722","2.2%","±0.1"
"            30 percent or more","72,692","±1,680","14.7%","±0.3","23,496","±1,069","7.9%","±0.3","49,196","±1,416","25.0%","±0.7","295,128","±3,709","14.2%","±0.2","121,280","±2,290","9.8%","±0.2","173,848","±3,119","20.8%","±0.3","116,219","±1,995","8.6%","±0.1","38,196","±1,030","4.0%","±0.1","78,023","±1,839","19.1%","±0.4","68,395","±1,922","9.9%","±0.3","24,228","±1,122","5.3%","±0.2","44,167","±1,533","18.6%","±0.6","74,186","±1,358","15.4%","±0.3","24,322","±931","8.2%","±0.3","49,864","±1,262","27.2%","±0.6","866,173","±6,235","12.1%","±0.1","199,210","±3,090","5.4%","±0.1","666,963","±5,806","19.4%","±0.2","58,891","±1,565","11.6%","±0.3","18,547","±825","5.7%","±0.3","40,344","±1,254","22.1%","±0.6","258,473","±3,024","11.5%","±0.1","101,386","±2,189","6.7%","±0.1","157,087","±2,479","21.3%","±0.3"
"        $20,000 to $34,999","78,701","±2,077","15.9%","±0.4","37,140","±1,214","12.4%","±0.4","41,561","±1,602","21.1%","±0.7","326,228","±4,245","15.7%","±0.2","158,944","±2,672","12.8%","±0.2","167,284","±3,465","20.0%","±0.4","149,018","±2,260","11.0%","±0.2","72,804","±1,606","7.7%","±0.2","76,214","±1,754","18.7%","±0.4","96,027","±2,229","13.9%","±0.3","47,604","±1,440","10.5%","±0.3","48,423","±1,673","20.4%","±0.6","73,374","±1,749","15.3%","±0.4","37,208","±1,090","12.5%","±0.4","36,166","±1,349","19.8%","±0.7","807,072","±5,800","11.3%","±0.1","280,177","±2,911","7.5%","±0.1","526,895","±5,215","15.3%","±0.1","76,523","±1,676","15.1%","±0.3","38,059","±1,069","11.8%","±0.3","38,464","±1,295","21.1%","±0.7","270,256","±4,069","12.0%","±0.2","142,621","±2,437","9.4%","±0.2","127,635","±2,821","17.3%","±0.4"
"            Less than 20 percent","13,010","±792","2.6%","±0.2","11,298","±710","3.8%","±0.2","1,712","±270","0.9%","±0.1","34,348","±1,328","1.7%","±0.1","31,375","±1,231","2.5%","±0.1","2,973","±357","0.4%","±0.1","18,820","±961","1.4%","±0.1","15,092","±750","1.6%","±0.1","3,728","±485","0.9%","±0.1","17,506","±991","2.5%","±0.1","15,225","±887","3.4%","±0.2","2,281","±341","1.0%","±0.1","16,149","±718","3.4%","±0.1","14,710","±662","4.9%","±0.2","1,439","±255","0.8%","±0.1","54,911","±1,628","0.8%","±0.1","26,302","±1,079","0.7%","±0.1","28,609","±1,337","0.8%","±0.1","15,767","±704","3.1%","±0.1","14,002","±653","4.3%","±0.2","1,765","±271","1.0%","±0.1","31,096","±1,025","1.4%","±0.1","25,796","±1,008","1.7%","±0.1","5,300","±459","0.7%","±0.1"
"            20 to 29 percent","14,473","±889","2.9%","±0.2","6,843","±548","2.3%","±0.2","7,630","±681","3.9%","±0.3","39,263","±1,447","1.9%","±0.1","30,743","±1,187","2.5%","±0.1","8,520","±720","1.0%","±0.1","27,958","±1,027","2.1%","±0.1","17,127","±806","1.8%","±0.1","10,831","±644","2.7%","±0.2","16,984","±882","2.5%","±0.1","8,648","±613","1.9%","±0.1","8,336","±633","3.5%","±0.3","11,562","±741","2.4%","±0.2","6,455","±544","2.2%","±0.2","5,107","±518","2.8%","±0.3","68,961","±1,641","1.0%","±0.1","27,392","±986","0.7%","±0.1","41,569","±1,388","1.2%","±0.1","18,819","±941","3.7%","±0.2","7,930","±523","2.5%","±0.2","10,889","±780","6.0%","±0.4","40,006","±1,199","1.8%","±0.1","27,012","±895","1.8%","±0.1","12,994","±902","1.8%","±0.1"
"            30 percent or more","51,218","±1,591","10.3%","±0.3","18,999","±918","6.4%","±0.3","32,219","±1,400","16.4%","±0.7","252,617","±4,070","12.2%","±0.2","96,826","±2,477","7.8%","±0.2","155,791","±3,383","18.6%","±0.4","102,240","±1,721","7.5%","±0.1","40,585","±1,099","4.3%","±0.1","61,655","±1,599","15.1%","±0.4","61,537","±1,946","8.9%","±0.3","23,731","±1,002","5.2%","±0.2","37,806","±1,649","15.9%","±0.6","45,663","±1,576","9.5%","±0.3","16,043","±873","5.4%","±0.3","29,620","±1,232","16.2%","±0.7","683,200","±5,883","9.5%","±0.1","226,483","±2,566","6.1%","±0.1","456,717","±5,297","13.3%","±0.1","41,937","±1,332","8.3%","±0.3","16,127","±783","5.0%","±0.2","25,810","±1,148","14.2%","±0.6","199,154","±3,443","8.8%","±0.2","89,813","±1,913","5.9%","±0.1","109,341","±2,446","14.8%","±0.3"
